+---------------------------------------------------------------------+---------+----------+
|                                                                     |   axis  |  class   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_19.tif |  (4,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_2.tif  |  (4,2)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_20.tif |  (4,20) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_21.tif |  (4,21) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_22.tif |  (4,22) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_23.tif |  (4,23) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_24.tif |  (4,24) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_25.tif |  (4,25) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_26.tif |  (4,26) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_27.tif |  (4,27) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_28.tif |  (4,28) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_29.tif |  (4,29) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_3.tif  |  (4,3)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_30.tif |  (4,30) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_31.tif |  (4,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_4.tif  |  (4,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_5.tif  |  (4,5)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_6.tif  |  (4,6)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_7.tif  |  (4,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_8.tif  |  (4,8)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_4_9.tif  |  (4,9)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_0.tif  |  (5,0)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_1.tif  |  (5,1)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_10.tif |  (5,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_11.tif |  (5,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_12.tif |  (5,12) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_13.tif |  (5,13) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_14.tif |  (5,14) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_15.tif |  (5,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_16.tif |  (5,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_17.tif |  (5,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_18.tif |  (5,18) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_19.tif |  (5,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_2.tif  |  (5,2)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_20.tif |  (5,20) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_21.tif |  (5,21) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_22.tif |  (5,22) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_23.tif |  (5,23) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_24.tif |  (5,24) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_25.tif |  (5,25) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_26.tif |  (5,26) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_27.tif |  (5,27) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_28.tif |  (5,28) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_29.tif |  (5,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_3.tif  |  (5,3)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_30.tif |  (5,30) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_31.tif |  (5,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_4.tif  |  (5,4)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_5.tif  |  (5,5)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_6.tif  |  (5,6)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_7.tif  |  (5,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_8.tif  |  (5,8)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_5_9.tif  |  (5,9)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_0.tif  |  (6,0)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_1.tif  |  (6,1)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_10.tif |  (6,10) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_11.tif |  (6,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_12.tif |  (6,12) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_13.tif |  (6,13) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_14.tif |  (6,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_15.tif |  (6,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_16.tif |  (6,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_17.tif |  (6,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_18.tif |  (6,18) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_19.tif |  (6,19) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_2.tif  |  (6,2)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_20.tif |  (6,20) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_21.tif |  (6,21) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_22.tif |  (6,22) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_23.tif |  (6,23) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_24.tif |  (6,24) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_25.tif |  (6,25) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_26.tif |  (6,26) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_27.tif |  (6,27) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_28.tif |  (6,28) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_29.tif |  (6,29) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_3.tif  |  (6,3)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_30.tif |  (6,30) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_31.tif |  (6,31) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_4.tif  |  (6,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_5.tif  |  (6,5)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_6.tif  |  (6,6)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_7.tif  |  (6,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_8.tif  |  (6,8)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_6_9.tif  |  (6,9)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_0.tif  |  (7,0)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_1.tif  |  (7,1)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_10.tif |  (7,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_11.tif |  (7,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_12.tif |  (7,12) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_13.tif |  (7,13) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_14.tif |  (7,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_15.tif |  (7,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_16.tif |  (7,16) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_17.tif |  (7,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_18.tif |  (7,18) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_19.tif |  (7,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_2.tif  |  (7,2)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_20.tif |  (7,20) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_21.tif |  (7,21) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_22.tif |  (7,22) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_23.tif |  (7,23) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_24.tif |  (7,24) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_25.tif |  (7,25) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_26.tif |  (7,26) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_27.tif |  (7,27) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_28.tif |  (7,28) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_29.tif |  (7,29) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_3.tif  |  (7,3)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_30.tif |  (7,30) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_31.tif |  (7,31) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_4.tif  |  (7,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_5.tif  |  (7,5)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_6.tif  |  (7,6)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_7.tif  |  (7,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_8.tif  |  (7,8)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_7_9.tif  |  (7,9)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_0.tif  |  (8,0)  | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_1.tif  |  (8,1)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_10.tif |  (8,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_11.tif |  (8,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_12.tif |  (8,12) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_13.tif |  (8,13) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_14.tif |  (8,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_15.tif |  (8,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_16.tif |  (8,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_17.tif |  (8,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_18.tif |  (8,18) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_19.tif |  (8,19) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_2.tif  |  (8,2)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_20.tif |  (8,20) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_21.tif |  (8,21) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_22.tif |  (8,22) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_23.tif |  (8,23) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_24.tif |  (8,24) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_25.tif |  (8,25) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_26.tif |  (8,26) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_27.tif |  (8,27) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_28.tif |  (8,28) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_29.tif |  (8,29) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_3.tif  |  (8,3)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_30.tif |  (8,30) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_31.tif |  (8,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_4.tif  |  (8,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_5.tif  |  (8,5)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_6.tif  |  (8,6)  | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_7.tif  |  (8,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_8.tif  |  (8,8)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_8_9.tif  |  (8,9)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_0.tif  |  (9,0)  | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_1.tif  |  (9,1)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_10.tif |  (9,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_11.tif |  (9,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_12.tif |  (9,12) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_13.tif |  (9,13) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_14.tif |  (9,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_15.tif |  (9,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_16.tif |  (9,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_17.tif |  (9,17) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_18.tif |  (9,18) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_19.tif |  (9,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_2.tif  |  (9,2)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_20.tif |  (9,20) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_21.tif |  (9,21) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_22.tif |  (9,22) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_23.tif |  (9,23) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_24.tif |  (9,24) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_25.tif |  (9,25) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_26.tif |  (9,26) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_27.tif |  (9,27) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_28.tif |  (9,28) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_29.tif |  (9,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_3.tif  |  (9,3)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_30.tif |  (9,30) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_31.tif |  (9,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_4.tif  |  (9,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_5.tif  |  (9,5)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_6.tif  |  (9,6)  | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_7.tif  |  (9,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_8.tif  |  (9,8)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_9_9.tif  |  (9,9)  |  meadow  |
+---------------------------------------------------------------------+---------+----------+
